Filter,c0,c1,c2
Gaia BP,-0.513,0.014,-0.000
Gaia G,0.012,0.019,-0.000
Gaia RP,0.741,0.026,-0.000
ZTF g,-0.783,0.015,-0.001
ZTF r,0.185,0.014,0.001
ZTF i,0.794,0.029,-0.000
LSST u,-1.592,0.047,-0.006
LSST g,-0.781,0.015,-0.001
LSST r,0.102,0.012,0.001
LSST i,0.663,0.026,0.000
LSST z,1.056,0.031,-0.001
LSST y,1.351,0.027,-0.001
Roman F062,0.104,0.015,0.000
Roman F087,1.054,0.030,-0.001
Roman F106,1.624,0.017,-0.000
Roman F129,2.190,0.004,-0.000
Roman F146,2.335,0.002,-0.001
Roman F158,2.694,-0.010,-0.002
Roman F184,2.966,-0.014,-0.002
Roman F213,3.200,-0.011,-0.001
2MASS J,2.104,0.004,0.000
2MASS H,2.845,-0.015,-0.002
2MASS Ks,3.227,-0.011,-0.001
WISE W1,3.871,-0.003,-0.001
WISE W2,4.373,-0.002,-0.001
